tmdbId,director,top_cast
862,John Lasseter,Tom Hanks|Tim Allen|Don Rickles
8844,Joe Johnston,Robin Williams|Jonathan Hyde|Kirsten Dunst
15602,Howard Deutch,Walter Matthau|Jack Lemmon|Ann-Margret
31357,Forest Whitaker,Whitney Houston|Angela Bassett|Loretta Devine
11862,Charles Shyer,Steve Martin|Diane Keaton|Martin Short
949,Michael Mann,Al Pacino|Robert De Niro|Val Kilmer
11860,Sydney Pollack,Harrison Ford|Julia Ormond|Greg Kinnear
45325,Peter Hewitt,Jonathan Taylor Thomas|Brad Renfro|Rachael Leigh Cook
9091,Peter Hyams,Jean-Claude Van Damme|Powers Boothe|Dorian Harewood
710,Martin Campbell,Pierce Brosnan|Sean Bean|Izabella Scorupco
9087,Rob Reiner,Michael Douglas|Annette Bening|Michael J. Fox
12110,Mel Brooks,Leslie Nielsen|Mel Brooks|Amy Yasbeck
21032,Simon Wells,Kevin Bacon|Bob Hoskins|Bridget Fonda
10858,Oliver Stone,Anthony Hopkins|Joan Allen|Powers Boothe
1408,Renny Harlin,Geena Davis|Matthew Modine|Frank Langella
524,Martin Scorsese,Robert De Niro|Sharon Stone|Joe Pesci
4584,Ang Lee,Kate Winslet|Emma Thompson|Hugh Grant
5,Allison Anders,Tim Roth|Antonio Banderas|Jennifer Beals
9273,Steve Oedekerk,Jim Carrey|Ian McNeice|Simon Callow
11517,Joseph Ruben,Wesley Snipes|Woody Harrelson|Jennifer Lopez
8012,Barry Sonnenfeld,John Travolta|Gene Hackman|Rene Russo
1710,Jon Amiel,Sigourney Weaver|Holly Hunter|Will Patton
9691,Richard Donner,Sylvester Stallone|Antonio Banderas|Julianne Moore
12665,Victor Salva,Mary Steenburgen|Sean Patrick Flanery|Lance Henriksen
451,Mike Figgis,Nicolas Cage|Elisabeth Shue|Julian Sands
16420,Oliver Parker,Laurence Fishburne|Irène Jacob|Kenneth Branagh
9263,Lesli Linka Glatter,Christina Ricci|Rosie O'Donnell|Thora Birch
17015,Roger Michell,Amanda Root|Ciarán Hinds|Susan Fleetwood
902,Jean-Pierre Jeunet,Ron Perlman|Dominique Pinon|Judith Vittet
