tmdbId,keywords_list
862,jealousy|toy|boy|friendship|friends|rivalry|boy next door|new toy
8844,board game|disappearance|based on children's book|new home|recluse|giant insect
15602,fishing|best friend|duringcreditsstinger|old men
31357,based on novel|interracial relationship|single mother|divorce|chick flick
11862,baby|midlife crisis|confidence|aging|daughter|mother daughter relationship|pregnancy|contraception
949,robbery|detective|bank|obsession|chase|shooting|thief|honor
11860,paris|brother brother relationship|chauffeur|long island|fusion|millionaire
45325,
9091,terrorist|hostage|explosive|vice president
710,cuba|falsely accused|secret identity|computer virus|secret base|secret intelligence service|kgb|satellite
9087,white house|usa president|new love|widower|wildlife conservation
12110,dracula|spoof
21032,wolf|dog-sledding race|alaska|dog|goose|bear attack|dog sled|frozen lake
10858,usa president|presidential election|watergate scandal|biography|government|historical figure
1408,exotic island|treasure|map|ship|scalp|pirate
524,poker|drug abuse|1970s|overdose|illegal prostitution
4584,bowling|based on novel|servant|country life|jane austen|inheritance|military officer|period drama
5,hotel|new year's eve|witch|bet|hotel room|sperm|los angeles|hoodlum
9273,africa|indigenous|human animal relationship|bat
11517,brother brother relationship|subway|new york city|new york subway|train robbery
8012,gambling|miami|based on novel|job|murder|travel|mafia|money
1710,police brutality|psychology|police operation|police protection|serial killer|psychologist|cowardliness
9691,competition|assassination|cia|bank|cat|mexican standoff|seattle|hitman
12665,dead animal|shot to death|teenage boy|held at gunpoint|teacher student relationship|albino|fainting|jacobs ladder
451,individual|prostitute|alcohol|casino|love at first sight|lovesickness|film producer|screenwriter
16420,shakespeare|jealousy|friends|moor
9263,1970s|female friendship|coming of age|gynecologist|photocopier|truth or dare|woman director
17015,captain|napoleonic wars|old flame|admiral
902,clone|dream|island|eye|dystopia|aging|friendship|rescue
37557,servant|cabaret|shanghai|diva|uncle|mistress|umbrella
9909,rap music|karate|high school|naval officer|teacher|amusement park
63,schizophrenia|philadelphia|cassandra syndrom|stockholm syndrome|time travel|post-apocalyptic|dystopia|lethal virus
9598,sheep|pig|affection|piglet|heroism|talking animal|separation|german shepherd
47018,england|painter|conscientious objector|independent film|soldier
687,prison|rape|socially deprived family|penalty|death penalty|despair|death row|begnadigung
139405,
33689,orphan|identical twin
9603,puberty|high school|make a match|spoiled child|gay interest|conflict|woman director
34615,south africa
31174,england|shakespeare|kidnapping|murder|king
11443,money|loss of virginity|hiding in a dumpster|mercy killing|armored truck|crushed by a car
35196,jealousy|medicine|fountain|court|wealth|spaniel|gloves
9312,martial arts|monster|island|gore|sorcerer|tournament|violence|based on video game
577,adultery|winter|obsession|television|new hampshire|narcissistic personality disorder
11861,wedding vows|marriage proposal|married couple|monogamy|advice|marriage|quilt|love
807,self-fulfilling prophecy|detective|s.w.a.t.|drug dealer|evisceration|lust and impulsiveness|rage and hate|pride and vanity
10530,culture clash|settler|forbidden love|colony|musical|gold rush|princess|romance
8391,professor|lgbt|woman director
629,law|relatives|theft|criminal|criminal mastermind|hungarian|sibling
11448,prostitute|adoption|adoptive father|childlessness|looking for  birth parents|adoptive mother|independent film|illegal prostitution
49133,independent film
26441,sport|kids and family|soccer|woman director
97406,alcohol|artist|music|drug|band
9089,baltimore|thanksgiving|family clan|family conflict|generations conflict|woman director
11010,island|letter|postman|fisherman|poet
99040,
11359,cupboard|games|puppet|parallel world|toy comes to life
17182,rape|gun|self-defense|grieving parents
2054,composer|mentor|deaf-mute|musical|apprentice|private life|music|disabled
10607,date|slang|hip-hop|cousin|parody|hood|gang|social satire
19760,island|painting|thief|seasickness
9536,biotope|vegetarian|pollution
11525,hacker|virtual reality|computer|sword fight
4482,love triangle|southern france|estate agent|menage a trois|van|woman director
10634,rap music|parent child relationship|rapper|job
755,dancing|brother brother relationship|sexual obsession|showdown|sheriff|eroticism|nudity|bank robber
11859,bomb|miami|sex|detective|handcuffs|based on novel|hostage|fbi
28387,college
48750,paris|nun|boxer|lawyer|jewish
20927,florist|family relationships
9102,man vs machine|alien planet|struggle for survival
124626,
27526,loss of daughter|hit-and-run driving |revenge|suspense|independent film|tragedy
9623,jurors|blackmail|court case|son|trial|courtroom
46785,fish|money|celebration|goldfish
400,father son relationship|bounty hunter|boat|way of life|coffin|denver|godmother|paranoia
880,suicide|underdog|free love|philosophy|rape|mentally disabled|loss of mother|village life
146599,racial segregation|family relationships|rural setting|african american
188588,
8447,class society|rich woman - poor man|scientist|naturalist|insect
10534,sailing trip|diary|sailing|survival|coming of age|teenage boy|discipline|squall
17414,boss|fistfight|bully|orangutan|hotel manager
13997,nitrous oxide|candid camera|double act|political satire|crooked politician|woman director
2086,assassination|train station|politics|los angeles
9095,servant|monster|laboratory|jekyll and hyde|housemaid|19th century
12158,vampire|half vampire
9283,hometown
9208,helicopter|river|captain|underground|mexican standoff|countdown|pilot|fistfight
40154,play|hamlet|christmas|actor
406,paris|neo-nazi|skinhead|robbery|police brutality|hip-hop|gun|socially deprived family
45549,
63076,narration|hollywood|prostitution
11062,corruption|undercover|war on drugs|mayor|drug dealer|presidential election|undercover agent|investigation
13685,brother brother relationship|robbery|burglar|language barrier|motel|independent film|psychiatric hospital|maid
47475,
2045,wife husband relationship|experiment|police|murder|suspense|memory|forensic|gunman
9614,loss of mother|loss of father|golf|sport|taxes
688,farewell|adultery|love at first sight|photographer|wife husband relationship|iowa|love of one's life|mother role
10874,island|pirate gang|puppet|treasure hunt
89333,
197,individual|scotland|in love with enemy|legend|independence|idealism|revolt|tyranny
103,vietnam veteran|taxi|obsession|drug dealer|night shift|vigilante|alienation|misanthrope
33542,new york|martial arts|supermarket|gang war|disabled child|gang|wedding|diamond
43566,
71754,mining|dance lesson|coal mining|bagpipes
51352,fascism|auschwitz|typhus|victim|interview|prejudice|burglary|rabbit
16934,london england|poison|based on true story|murder|serial killer|mental institution|teenager|psychiatrist
10324,roommate|single|love|independent film|best friend|brooklyn bridge
78406,brother brother relationship|twin brother|lawyer|estate|santa barbara california
32119,
11066,role of women|ladykiller|success|ladies' man|chefin|casanova|womanizer
11104,ex-girlfriend|drug smuggle|girlfriend|snack bar|romance|hong kong|pineapple|expiration date
37975,
2074,lsd|looking for  birth parents|half-brother|independent film
27793,flying|magic
110972,
32622,independent film|woman director
73067,boy|writer|ireland|flashback|troop ship
11863,callgirl|san francisco|investigation|murder
9101,submarine|u.s. navy|misfit
5757,homosexuality|independent film|mockumentary
9302,skab under tv|foran|nederste hylde
11000,gay|drag queen|homophobia|florida|coming out|senator|politician|lgbt
16388,love|independent film|best friend|true love|irish catholic
9737,miami|detective|handcuffs|airport|mexican standoff|strip club|witness protection|car crash
30765,china|panda|poacher
10474,sport|basketball|addiction|friends|drug
22279,england|based on novel|liverpool|theatre company|1940s
30157,independent film
568,moon|florida|nasa|spaceman|race against time|houston|based on true story|space
11780,scotland|biography|18th century|highlands|violent man
34996,new york|philosophy|vampire|blood|student|violence
414,riddle|dc comics|rose|gotham city|partner|superhero|robin|broken neck
649,prostitute|adultery|double life|dual identity|jealousy|wife husband relationship|brothel|dream
1873,burma|rangoon|doctor
5894,smoking|corner shop|cigarette|tobacco|cigar|independent film
1775,
8839,halloween|friendship|supernatural|afterlife|friends|danger|ghost|disorder
20649,drug pusher|train|drug|drug lord
10329,gorilla|kongo|diamond mine|diamond
8963,submarine|mutiny|russia|missile|nuclear missile|embassy|u.s. navy|battle for power
26564,underground|biography|art
8068,gunslinger|anti terror|ambush|mexico|showdown|guitar|nudity|hitman
8512,jazz club|murder|los angeles|private detective|film noir|neo-noir
1572,bomb|taxi|riddle|robbery|detective|helicopter|gold|subway
13552,sex|eroticism|nudity|nazis|suspense|drifter|voyeur
259209,
6520,camelot|knight|king arthur|excalibur|knights of the round table
9073,human animal relationship|whale|killer whale
10428,female nudity|hacker|nudity|computer virus|virtual reality|computer|sexual fantasy|prank
17447,gay|aids|based on play or musical|hiv positive
9886,brain|childhood memory|dystopia|pharmaceutical industry|computer chip|courier|cyber|cyberpunk
9482,judge|post-apocalyptic|dystopia|based on comic|police officer|based on graphic novel|frame up|dystopic future
19326,stripper|jury|jurist|independent film|jury duty|verdict
9344,puberty|first time
9071,cinema|independent film|filmmaker
8973,fanatic|supernatural|wizardry|resurrection|sect|occultism
15730,
47608,suicide attempt|college|teen angst|mental illness|woman director
2293,sex|game show|slacker|shopping|mall|ex-boyfriend ex-girlfriend relationship|jay and silent bob|silent man
9070,based on tv series|tokusatsu|superhero team|ethnic diversity|super sentai|power rangers|mighty morphin power rangers|mmpr
48787,chase|police|murder|mute|disk
34574,new york|vampire|dracula
1642,cheating|new identity|computer virus|chase|computer|stalking
11472,parent child relationship|baby|marriage|pregnancy|child wish
36196,library|party|independent film|free spirit|woman director|librarian
11980,angel|archangel gabriel|menschheit
58372,trauma|game show|female protagonist|christmas
32646,sex|chemical|medicine|housewife|pollution|quarantine|independent film|allergy
10533,based on novel|burning of witches|puritan|pregnancy|period drama|extramarital affair
10802,dancing|female nudity|go-go dancer|spanner|seduction|striptease|sexappeal
10149,smoking|robber|cigarette|cigar|laden|independent film|writer
18402,horse|savannah|based on true story|family
9348,telepathy|dna|paranoia|genetics|instinct|femme fatale|alien|on the run
281,pornography|prostitute|rape|police brutality|dream|ex-girlfriend|future|bodyguard
5967,car mechanic|letter|musical|war|single
79593,
47939,baseball|drifter|dog|korean war|woman director
36834,mentor|poet|woman director
9090,transvestism|gay|new york|drag queen|homophobia|travel|road movie|woman director
3512,terrorist|pentagon|satellite|navy seal|train
52856,woman director
77350,fashion
9560,world war ii|vineyard|love|remake|pregnancy|harvest|grape|abandoned woman
9804,ocean|tattoo|mutant|water|dystopia|doomsday
31611,dystopia|black white relations|alternative universe
49805,
50797,wife husband relationship|colonel
19155,monk|mountain|restaurant|war photographer|christian|fashion photographer|girl|violence
76,dialogue|sunrise|talking|soulmates|walking|austria|traveller|danube
11017,woman director
37141,alcohol|obsession|babysitter|party|teenager|parents
9382,aids|roommate|homicide|car journey|friendship|friends|homosexuality|escape
6715,mississippi
18256,castle|voyeurism
22625,forbidden love|moral conflict|independent film
2292,salesclerk|loser|aftercreditsstinger
